type,time,id,speed,relative_position
,84.4,f_1W.0,13.86,699.35
,84.5,f_1W.0,13.86,700.73
,84.6,f_1W.0,13.79,702.11
,84.7,f_1W.0,13.78,703.49
,84.8,f_1W.0,13.84,704.87
,84.9,f_1W.0,13.86,706.26
,85,f_1W.0,13.81,707.64
,85.1,f_1W.0,13.79,709.02
,85.2,f_1W.0,13.87,710.41
,85.3,f_1W.0,13.87,711.79
,85.4,f_1W.0,13.8,713.17
,85.5,f_1W.0,13.8,714.55
,85.6,f_1W.0,13.85,715.94
,85.7,f_1W.0,13.85,717.32
,85.8,f_1W.0,13.87,718.71
,85.9,f_1W.0,13.77,720.09
,86,f_1W.0,13.82,721.47
,86.1,f_1W.0,13.83,722.85
,86.2,f_1W.0,13.77,724.23
,86.3,f_1W.0,13.86,725.61
,86.4,f_1W.0,13.82,727
,86.5,f_1W.0,13.83,728.38
,86.6,f_1W.0,13.86,729.77
,86.7,f_1W.0,13.78,731.14
,86.8,f_1W.0,13.82,732.53
,86.9,f_1W.0,13.77,733.9
,87,f_1W.0,13.85,735.29
,87.1,f_1W.0,13.89,736.68
,87.2,f_1W.0,13.83,738.06
,87.3,f_1W.0,13.8,739.44
,87.4,f_1W.0,13.78,740.82
,87.5,f_1W.0,13.77,742.19
,87.6,f_1W.0,13.85,743.58
,87.7,f_1W.0,13.79,744.96
,87.8,f_1W.0,13.88,746.34
,87.9,f_1W.0,13.77,747.72
,88,f_1W.0,13.8,749.1
,88.1,f_1W.0,13.8,750.48
,88.2,f_1W.0,13.81,751.86
,88.3,f_1W.0,13.86,753.25
,88.4,f_1W.0,13.79,754.63
,88.5,f_1W.0,13.84,756.01
,88.6,f_1W.0,13.83,757.39
,88.7,f_1W.0,13.83,758.78
,88.8,f_1W.0,13.8,760.16
,88.9,f_1W.0,13.79,761.54
,89,f_1W.0,13.89,762.92
,89.1,f_1W.0,13.85,764.31
,89.2,f_1W.0,13.83,765.69
,89.3,f_1W.0,13.8,767.07
,89.4,f_1W.0,13.81,768.45
,89.5,f_1W.0,13.85,769.84
,89.6,f_1W.0,13.85,771.22
,89.7,f_1W.0,13.83,772.61
,89.8,f_1W.0,13.81,773.99
,89.9,f_1W.0,13.85,775.37
,90,f_1W.0,13.78,776.75
,90.1,f_1W.0,13.78,778.13
,90.2,f_1W.0,13.81,779.51
,90.3,f_1W.0,13.82,780.89
,90.4,f_1W.0,13.84,782.27
,90.5,f_1W.0,13.81,783.65
,90.6,f_1W.0,13.8,785.03
,90.7,f_1W.0,13.85,786.42
,90.8,f_1W.0,13.77,787.8
,90.9,f_1W.0,13.88,789.18
,91,f_1W.0,13.79,790.56
,91.1,f_1W.0,13.79,791.94
,91.2,f_1W.0,13.8,793.32
,91.3,f_1W.0,13.81,794.7
,91.4,f_1W.0,13.79,796.08
,91.5,f_1W.0,13.84,797.47
,91.6,f_1W.0,13.77,798.84
,91.7,f_1W.0,13.86,800.23
,91.8,f_1W.0,13.81,801.61
,91.9,f_1W.0,13.77,802.99
,92,f_1W.0,13.82,804.37
,92.1,f_1W.0,13.88,805.76
,92.2,f_1W.0,13.83,807.14
,92.3,f_1W.0,13.88,808.53
,92.4,f_1W.0,13.87,809.92
,92.5,f_1W.0,13.89,811.3
,92.6,f_1W.0,13.79,812.68
,92.7,f_1W.0,13.78,814.06
,92.8,f_1W.0,13.84,815.45
,92.9,f_1W.0,13.83,816.83
,93,f_1W.0,13.77,818.21
,93.1,f_1W.0,13.78,819.58
,93.2,f_1W.0,13.86,820.97
,93.3,f_1W.0,13.88,822.36
,93.4,f_1W.0,13.88,823.75
,93.5,f_1W.0,13.86,825.13
,93.6,f_1W.0,13.77,826.51
,93.7,f_1W.0,13.79,827.89
,93.8,f_1W.0,13.8,829.27
,93.9,f_1W.0,13.82,830.65
,94,f_1W.0,13.78,832.03
,94.1,f_1W.0,13.85,833.41
,94.2,f_1W.0,13.87,834.8
,94.3,f_1W.0,13.87,836.19
,94.4,f_1W.0,13.83,837.57
,94.5,f_1W.0,13.86,838.96
,94.6,f_1W.0,13.88,840.34
,94.7,f_1W.0,13.81,841.73
,94.8,f_1W.0,13.82,843.11
,94.9,f_1W.0,13.81,844.49
,95,f_1W.0,13.86,845.88
,95.1,f_1W.0,13.81,847.26
,95.2,f_1W.0,13.86,848.64
,95.3,f_1W.0,13.86,850.03
,95.4,f_1W.0,13.86,851.41
